,id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction,full_name,survey_response
0,1351,Tuesday,UNITED INTL,KANSAI,Asia,Hub,Gates 91-102,2018-12-31,115.0,Clean,Neutral,Very satisfied,Dr. Donica Wellington,Proin at turpis a pede posuere nonummy.
1,373,Friday,ALASKA,SAN JOSE DEL CABO,Canada/Mexico,Small,Gates 50-59,2018-12-31,135.0,Clean,Very safe,Very satisfied, Valaria Sell,In congue. Etiam justo.
2,2820,Thursday,DELTA,LOS ANGELES,West US,Hub,Gates 40-48,2018-12-31,70.0000000000001,Average,Somewhat safe,Neutral, Roanna Sappy,Suspendisse accumsan tortor quis turpis.
3,1157,Tuesday,SOUTHWEST,LOS ANGELES,West US,Hub,Gates 20-39,2018-12-31,190.0,Clean,Very safe,Somewhat satsified, Correy Drage,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
4,2992,Wednesday,AMERICAN,MIAMI,East US,Hub,Gates 50-59,2018-12-31,559.0,Unacceptable,Very safe,Somewhat satsified, Gabie Pashbee,Duis mattis egestas metus.
5,634,Thursday,ALASKA,NEWARK,East US,Hub,Gates 50-59,2018-12-31,140.0,Somewhat clean,Very safe,Very satisfied, Reinaldo Goaley,Nullam orci pede venenatis non sodales sed tincidunt eu felis.
6,2578,Saturday,JETBLUE,LONG BEACH,West US,Small,Gates 1-12,2018-12-31,62.99999999999989,Clean,Very safe,Somewhat satsified, Eben July,Duis mattis egestas metus.
8,2592,Saturday,AEROMEXICO,MEXICO CITY,Canada/Mexico,    Hub,Gates 1-12,2018-12-31,215.0,Somewhat clean,Very safe,Neutral, Arleyne Blackham,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
9,919,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,70.0000000000001,Somewhat clean,Somewhat safe,Somewhat satsified, Bree Chastand,Maecenas tincidunt lacus at velit.
10,3028,Tuesday,UNITED,PORTLAND,West US,Medium,Gates 70-90,2018-12-31,180.0,Average,Very safe,Neutral, Elsi Frounks,Suspendisse potenti. In eleifend quam a odio.
11,1129,Tuesday,SOUTHWEST,SAN DIEGO,West US,Medium,Gates 20-39,2018-12-31,540.0,Clean,Very safe,Somewhat satsified,Ms. Birk Lukianov,Integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci.
12,2648,Saturday,JETBLUE,BOSTON,East US,Large,Gates 1-12,2018-12-31,192.0,Somewhat clean,Very safe,Somewhat satsified, Zabrina Eyree,Integer non velit. Donec diam neque vestibulum eget vulputate ut ultrices vel augue.
13,3104,Tuesday,UNITED,SPOKANE,West US,Small,Gates 70-90,2018-12-31,107.0,Clean,Very safe,Somewhat satsified, Jordan Alleyn,Nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.
14,2589,Saturday,INTERJET,GUADALAJARA,Canada/Mexico,Medium,Gates 1-12,2018-12-31,155.0,Somewhat clean,Somewhat safe,Somewhat satsified, Raimundo Farady,In sagittis dui vel nisl. Duis ac nibh.
15,2345,Tuesday,DELTA,MINNEAPOLIS-ST. PAUL,Midwest US,Hub,Gates 40-48,2018-12-31,155.0,Somewhat clean,Somewhat safe,Somewhat satsified, Stinky Gritsunov,Morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl. Nunc rhoncus dui vel sem.
16,390,Friday,ALASKA,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,175.0,Somewhat clean,Neutral,Somewhat satsified, Linette Blucher,In quis justo.
17,954,Tuesday,ALASKA,NEW YORK-JFK,EAST US,    Hub,Gates 50-59,2018-12-31,100.0,Clean,Very safe,Very satisfied, Shep Milvarnie,Etiam justo. Etiam pretium iaculis justo.
18,2913,Friday,TURKISH AIRLINES,ISTANBUL,Middle East,Hub,Gates 91-102,2018-12-31,225.0,Unacceptable,Very safe,Somewhat satsified, Chick Quadri,Donec posuere metus vitae ipsum.
19,803,Sunday,ALASKA,BALTIMORE,East US,Medium,Gates 50-59,2018-12-31,155.0,Clean,Very safe,Very satisfied, Florence Mallord,Aliquam non mauris. Morbi non lectus.
20,767,Thursday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,115.0,Average,Neutral,Somewhat satsified, Selie Hutchinges,Suspendisse accumsan tortor quis turpis. Sed ante.
21,1214,Tuesday,SOUTHWEST,LAS VEGAS,West US,Hub,Gates 20-39,2018-12-31,59.99999999999989,Average,Somewhat safe,Somewhat satsified, Aeriela Codd,In hac habitasse platea dictumst.
22,1373,Tuesday,UNITED INTL,SHANGHAI,Asia,Hub     ,Gates 91-102,2018-12-31,145.0,Clean,Very safe,Somewhat satsified, Corella Overstall,In hac habitasse platea dictumst.
23,1263,Thursday,UNITED INTL,TOKYO-NARITA,Asia,Hub,Gates 91-102,2018-12-31,210.0,Average,Neutral,Neutral,Ms. Dene MacDearmont,Nulla mollis molestie lorem.
24,2723,Wednesday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,160.0,Somewhat clean,Very safe,Somewhat satsified, Nevin Moncrieffe,Suspendisse accumsan tortor quis turpis. Sed ante.
25,3097,Tuesday,UNITED,SPOKANE,West US,    Small,Gates 70-90,2018-12-31,604.0,Clean,Very safe,Very satisfied, Turner Mains,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.
27,214,Wednesday,AMERICAN,LOS ANGELES,West US,Hub,Gates 50-59,2018-12-31,100.0,Average,Somewhat safe,Somewhat satsified, Portie Leathley,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
28,1372,Tuesday,UNITED INTL,PARIS-DE GAULLE,eur,    Hub,Gates 91-102,2018-12-31,205.0,Somewhat clean,Very safe,Somewhat satsified, Paulina Mewhirter,Fusce consequat. Nulla nisl.
29,1956,Tuesday,UNITED,BOSTON,East US,Large,Gates 70-90,2018-12-31,115.0,Somewhat clean,Somewhat safe,Somewhat satsified, Ax Uvedale,Integer tincidunt ante vel ipsum.
30,1716,Sunday,AIR FRANCE/KLM,PARIS-DE GAULLE,Europe,Hub,Gates 1-12,2018-12-31,510.0,Clean,Neutral,Very satisfied, Tedman Brownbill,Phasellus sit amet erat.
31,1487,Wednesday,HAWAIIAN AIR,HONOLULU,West US,Medium     ,Gates 1-12,2018-12-31,135.0,Clean,Very safe,Somewhat satsified, Elianora Blackney,Curabitur in libero ut massa volutpat convallis.
32,842,Tuesday,AMERICAN,DALLAS-FT. WORTH,Midwest US,    Hub,Gates 50-59,2018-12-31,145.0,Somewhat clean,Very safe,Somewhat satsified, Sisile Chastel,Nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci.
33,930,Friday,AIR CANADA,TORONTO,Canada/Mexico,Hub,Gates 91-102,2018-12-31,270.0,Average,Somewhat safe,Somewhat satsified, Marcelia Vischi,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.
34,3064,Sunday,COPA,PANAMA CITY,Central/South America,Medium,Gates 1-12,2018-12-31,173.0,Average,Neutral,Neutral, Eben Greatorex,Pellentesque viverra pede ac diam.
35,743,Sunday,ALASKA,NEW YORK-JFK,East US,Hub,Gates 50-59,2018-12-31,100.0,Somewhat clean,Very safe,Somewhat satsified, Clive Chichgar,Duis consequat dui nec nisi volutpat eleifend.
36,2099,Monday,UNITED INTL,MEXICO CITY,Canada/Mexico,Hub,Gates 91-102,2018-12-31,190.0,Clean,Very safe,Neutral, Federico Rojel,Duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa. Donec dapibus.
37,315,Thursday,UNITED,SAN DIEGO,West US,Medium,Gates 70-90,2018-12-31,92.00000000000021,Somewhat clean,Very safe,Somewhat satsified, Miguel Prangnell,Vestibulum rutrum rutrum neque.
